series_id,description
JTS000000150000000HIL,"Hires, Level - In Thousands, Total nonfarm, Hawaii, All size classes, Seasonally Adjusted"
JTS000000150000000HIR,"Hires, Rate, Total nonfarm, Hawaii, All size classes, Seasonally Adjusted"
JTS000000150000000JOL,"Job openings, Level - In Thousands, Total nonfarm, Hawaii, All size classes, Seasonally Adjusted"
JTS000000150000000JOR,"Job openings, Rate, Total nonfarm, Hawaii, All size classes, Seasonally Adjusted"
JTS000000150000000LDL,"Layoffs and discharges, Level - In Thousands, Total nonfarm, Hawaii, All size classes, Seasonally Adjusted"
JTS000000150000000LDR,"Layoffs and discharges, Rate, Total nonfarm, Hawaii, All size classes, Seasonally Adjusted"
JTS000000150000000QUL,"Quits, Level - In Thousands, Total nonfarm, Hawaii, All size classes, Seasonally Adjusted"
JTS000000150000000QUR,"Quits, Rate, Total nonfarm, Hawaii, All size classes, Seasonally Adjusted"
JTS000000150000000TSL,"Total separations, Level - In Thousands, Total nonfarm, Hawaii, All size classes, Seasonally Adjusted"
JTS000000150000000TSR,"Total separations, Rate, Total nonfarm, Hawaii, All size classes, Seasonally Adjusted"
JTS000000150000000UOR,"Unemployed persons per job opening ratio, Rate, Total nonfarm, Hawaii, All size classes, Seasonally Adjusted"
JTS000000160000000HIL,"Hires, Level - In Thousands, Total nonfarm, Idaho, All size classes, Seasonally Adjusted"
JTS000000160000000HIR,"Hires, Rate, Total nonfarm, Idaho, All size classes, Seasonally Adjusted"
JTS000000160000000JOL,"Job openings, Level - In Thousands, Total nonfarm, Idaho, All size classes, Seasonally Adjusted"
JTS000000160000000JOR,"Job openings, Rate, Total nonfarm, Idaho, All size classes, Seasonally Adjusted"
JTS000000160000000LDL,"Layoffs and discharges, Level - In Thousands, Total nonfarm, Idaho, All size classes, Seasonally Adjusted"
JTS000000160000000LDR,"Layoffs and discharges, Rate, Total nonfarm, Idaho, All size classes, Seasonally Adjusted"
JTS000000160000000QUL,"Quits, Level - In Thousands, Total nonfarm, Idaho, All size classes, Seasonally Adjusted"
JTS000000160000000QUR,"Quits, Rate, Total nonfarm, Idaho, All size classes, Seasonally Adjusted"
JTS000000160000000TSL,"Total separations, Level - In Thousands, Total nonfarm, Idaho, All size classes, Seasonally Adjusted"
JTS000000160000000TSR,"Total separations, Rate, Total nonfarm, Idaho, All size classes, Seasonally Adjusted"
JTS000000160000000UOR,"Unemployed persons per job opening ratio, Rate, Total nonfarm, Idaho, All size classes, Seasonally Adjusted"
JTS000000170000000HIL,"Hires, Level - In Thousands, Total nonfarm, Illinois, All size classes, Seasonally Adjusted"
JTS000000170000000HIR,"Hires, Rate, Total nonfarm, Illinois, All size classes, Seasonally Adjusted"
JTS000000170000000JOL,"Job openings, Level - In Thousands, Total nonfarm, Illinois, All size classes, Seasonally Adjusted"
JTS000000170000000JOR,"Job openings, Rate, Total nonfarm, Illinois, All size classes, Seasonally Adjusted"
JTS000000170000000LDL,"Layoffs and discharges, Level - In Thousands, Total nonfarm, Illinois, All size classes, Seasonally Adjusted"
JTS000000170000000LDR,"Layoffs and discharges, Rate, Total nonfarm, Illinois, All size classes, Seasonally Adjusted"
JTS000000170000000QUL,"Quits, Level - In Thousands, Total nonfarm, Illinois, All size classes, Seasonally Adjusted"
JTS000000170000000QUR,"Quits, Rate, Total nonfarm, Illinois, All size classes, Seasonally Adjusted"
JTS000000170000000TSL,"Total separations, Level - In Thousands, Total nonfarm, Illinois, All size classes, Seasonally Adjusted"
JTS000000170000000TSR,"Total separations, Rate, Total nonfarm, Illinois, All size classes, Seasonally Adjusted"
JTS000000170000000UOR,"Unemployed persons per job opening ratio, Rate, Total nonfarm, Illinois, All size classes, Seasonally Adjusted"
JTS000000180000000HIL,"Hires, Level - In Thousands, Total nonfarm, Indiana, All size classes, Seasonally Adjusted"
JTS000000180000000HIR,"Hires, Rate, Total nonfarm, Indiana, All size classes, Seasonally Adjusted"
JTS000000180000000JOL,"Job openings, Level - In Thousands, Total nonfarm, Indiana, All size classes, Seasonally Adjusted"
JTS000000180000000JOR,"Job openings, Rate, Total nonfarm, Indiana, All size classes, Seasonally Adjusted"
JTS000000180000000LDL,"Layoffs and discharges, Level - In Thousands, Total nonfarm, Indiana, All size classes, Seasonally Adjusted"
JTS000000180000000LDR,"Layoffs and discharges, Rate, Total nonfarm, Indiana, All size classes, Seasonally Adjusted"
JTS000000180000000QUL,"Quits, Level - In Thousands, Total nonfarm, Indiana, All size classes, Seasonally Adjusted"
JTS000000180000000QUR,"Quits, Rate, Total nonfarm, Indiana, All size classes, Seasonally Adjusted"
JTS000000180000000TSL,"Total separations, Level - In Thousands, Total nonfarm, Indiana, All size classes, Seasonally Adjusted"
JTS000000180000000TSR,"Total separations, Rate, Total nonfarm, Indiana, All size classes, Seasonally Adjusted"
JTS000000180000000UOR,"Unemployed persons per job opening ratio, Rate, Total nonfarm, Indiana, All size classes, Seasonally Adjusted"
JTS000000190000000HIL,"Hires, Level - In Thousands, Total nonfarm, Iowa, All size classes, Seasonally Adjusted"
JTS000000190000000HIR,"Hires, Rate, Total nonfarm, Iowa, All size classes, Seasonally Adjusted"
JTS000000190000000JOL,"Job openings, Level - In Thousands, Total nonfarm, Iowa, All size classes, Seasonally Adjusted"
JTS000000190000000JOR,"Job openings, Rate, Total nonfarm, Iowa, All size classes, Seasonally Adjusted"
JTS000000190000000LDL,"Layoffs and discharges, Level - In Thousands, Total nonfarm, Iowa, All size classes, Seasonally Adjusted"
JTS000000190000000LDR,"Layoffs and discharges, Rate, Total nonfarm, Iowa, All size classes, Seasonally Adjusted"
JTS000000190000000QUL,"Quits, Level - In Thousands, Total nonfarm, Iowa, All size classes, Seasonally Adjusted"
JTS000000190000000QUR,"Quits, Rate, Total nonfarm, Iowa, All size classes, Seasonally Adjusted"
JTS000000190000000TSL,"Total separations, Level - In Thousands, Total nonfarm, Iowa, All size classes, Seasonally Adjusted"
JTS000000190000000TSR,"Total separations, Rate, Total nonfarm, Iowa, All size classes, Seasonally Adjusted"
JTS000000190000000UOR,"Unemployed persons per job opening ratio, Rate, Total nonfarm, Iowa, All size classes, Seasonally Adjusted"
JTS000000200000000HIL,"Hires, Level - In Thousands, Total nonfarm, Kansas, All size classes, Seasonally Adjusted"
JTS000000200000000HIR,"Hires, Rate, Total nonfarm, Kansas, All size classes, Seasonally Adjusted"
JTS000000200000000JOL,"Job openings, Level - In Thousands, Total nonfarm, Kansas, All size classes, Seasonally Adjusted"
JTS000000200000000JOR,"Job openings, Rate, Total nonfarm, Kansas, All size classes, Seasonally Adjusted"
JTS000000200000000LDL,"Layoffs and discharges, Level - In Thousands, Total nonfarm, Kansas, All size classes, Seasonally Adjusted"
JTS000000200000000LDR,"Layoffs and discharges, Rate, Total nonfarm, Kansas, All size classes, Seasonally Adjusted"
JTS000000200000000QUL,"Quits, Level - In Thousands, Total nonfarm, Kansas, All size classes, Seasonally Adjusted"
JTS000000200000000QUR,"Quits, Rate, Total nonfarm, Kansas, All size classes, Seasonally Adjusted"
JTS000000200000000TSL,"Total separations, Level - In Thousands, Total nonfarm, Kansas, All size classes, Seasonally Adjusted"
JTS000000200000000TSR,"Total separations, Rate, Total nonfarm, Kansas, All size classes, Seasonally Adjusted"
JTS000000200000000UOR,"Unemployed persons per job opening ratio, Rate, Total nonfarm, Kansas, All size classes, Seasonally Adjusted"
JTS000000210000000HIL,"Hires, Level - In Thousands, Total nonfarm, Kentucky, All size classes, Seasonally Adjusted"
JTS000000210000000HIR,"Hires, Rate, Total nonfarm, Kentucky, All size classes, Seasonally Adjusted"
JTS000000210000000JOL,"Job openings, Level - In Thousands, Total nonfarm, Kentucky, All size classes, Seasonally Adjusted"
JTS000000210000000JOR,"Job openings, Rate, Total nonfarm, Kentucky, All size classes, Seasonally Adjusted"
JTS000000210000000LDL,"Layoffs and discharges, Level - In Thousands, Total nonfarm, Kentucky, All size classes, Seasonally Adjusted"
JTS000000210000000LDR,"Layoffs and discharges, Rate, Total nonfarm, Kentucky, All size classes, Seasonally Adjusted"
JTS000000210000000QUL,"Quits, Level - In Thousands, Total nonfarm, Kentucky, All size classes, Seasonally Adjusted"
JTS000000210000000QUR,"Quits, Rate, Total nonfarm, Kentucky, All size classes, Seasonally Adjusted"
JTS000000210000000TSL,"Total separations, Level - In Thousands, Total nonfarm, Kentucky, All size classes, Seasonally Adjusted"
JTS000000210000000TSR,"Total separations, Rate, Total nonfarm, Kentucky, All size classes, Seasonally Adjusted"
JTS000000210000000UOR,"Unemployed persons per job opening ratio, Rate, Total nonfarm, Kentucky, All size classes, Seasonally Adjusted"
JTS000000220000000HIL,"Hires, Level - In Thousands, Total nonfarm, Louisiana, All size classes, Seasonally Adjusted"
JTS000000220000000HIR,"Hires, Rate, Total nonfarm, Louisiana, All size classes, Seasonally Adjusted"
