series_id,description
PCU2212102212101133,"PPI industry data for Natural gas distribution-East North Central commercial natural gas, not seasonally adjusted"
PCU2212102212101134,"PPI industry data for Natural gas distribution-West North Central commercial natural gas, not seasonally adjusted"
PCU2212102212101135,"PPI industry data for Natural gas distribution-South Atlantic commercial natural gas, not seasonally adjusted"
PCU2212102212101136,"PPI industry data for Natural gas distribution-East South Central commercial natural gas, not seasonally adjusted"
PCU2212102212101137,"PPI industry data for Natural gas distribution-West South Central commercial natural gas, not seasonally adjusted"
PCU2212102212101138,"PPI industry data for Natural gas distribution-Mountain commercial natural gas, not seasonally adjusted"
PCU2212102212101139,"PPI industry data for Natural gas distribution-Pacific commercial natural gas, not seasonally adjusted"
PCU221210221210114,"PPI industry data for Natural gas distribution-Industrial natural gas, not seasonally adjusted"
PCU2212102212101141,"PPI industry data for Natural gas distribution-New England industrial natural gas, not seasonally adjusted"
PCU2212102212101142,"PPI industry data for Natural gas distribution-Middle Atlantic industrial natural gas, not seasonally adjusted"
PCU2212102212101143,"PPI industry data for Natural gas distribution-East North Central industrial natural gas, not seasonally adjusted"
PCU2212102212101144,"PPI industry data for Natural gas distribution-West North Central industrial natural gas, not seasonally adjusted"
PCU2212102212101145,"PPI industry data for Natural gas distribution-South Atlantic industrial natural gas, not seasonally adjusted"
PCU2212102212101146,"PPI industry data for Natural gas distribution-East South Central industrial natural gas, not seasonally adjusted"
PCU2212102212101147,"PPI industry data for Natural gas distribution-West South Central industrial natural gas, not seasonally adjusted"
PCU2212102212101148,"PPI industry data for Natural gas distribution-Mountain industrial natural gas, not seasonally adjusted"
PCU2212102212101149,"PPI industry data for Natural gas distribution-Pacific industrial natural gas, not seasonally adjusted"
PCU221210221210115,"PPI industry data for Natural gas distribution-To electric power, not seasonally adjusted"
PCU22121022121012,"PPI industry data for Natural gas distribution-Delivered to ultimate consumers for the account of others (transportation only), not seasonally adjusted"
PCU221210221210122,"PPI industry data for Natural gas distribution-Industrial consumer, not seasonally adjusted"
PCU221210221210123,"PPI industry data for Natural gas distribution-Other consumers, not seasonally adjusted"
PCU221210221210M,"PPI industry data for Natural gas distribution-Miscellaneous receipts, not seasonally adjusted"
PCU221210221210MM,"PPI industry data for Natural gas distribution-Miscellaneous receipts, not seasonally adjusted"
PCU221210221210P,"PPI industry data for Natural gas distribution-Primary products, not seasonally adjusted"
PCU236211236211,"PPI industry data for New industrial building construction, not seasonally adjusted"
PCU236211236211P,"PPI industry data for New industrial building construction-Primary products, not seasonally adjusted"
PCU236221236221,"PPI industry data for New warehouse building construction, not seasonally adjusted"
PCU236221236221P,"PPI industry data for New warehouse building construction-Primary products, not seasonally adjusted"
PCU236222236222,"PPI industry data for New school building construction, not seasonally adjusted"
PCU236222236222P,"PPI industry data for New school building construction-Primary products, not seasonally adjusted"
PCU236223236223,"PPI industry data for New office building construction, not seasonally adjusted"
PCU236223236223P,"PPI industry data for New office building construction-Primary products, not seasonally adjusted"
PCU236224236224,"PPI industry data for New health care building construction, not seasonally adjusted"
PCU236224236224P,"PPI industry data for New health care building construction-Primary products, not seasonally adjusted"
PCU236400236400,"PPI industry data for New nonresidential building construction by contractor type/region, not seasonally adjusted"
PCU2364002364001,"PPI industry data for New nonresidential building construction by contractor type/region-General contractors, not seasonally adjusted"
