series_id,description
LASST470000000000005,Employment: Tennessee (S)
LASST470000000000006,Labor Force: Tennessee (S)
LASST470000000000007,Employment-Population Ratio: Tennessee (S)
LASST470000000000008,Labor Force Participation Rate: Tennessee (S)
LASST480000000000003,Unemployment Rate: Texas (S)
LASST480000000000004,Unemployment: Texas (S)
LASST480000000000005,Employment: Texas (S)
LASST480000000000006,Labor Force: Texas (S)
LASST480000000000007,Employment-Population Ratio: Texas (S)
LASST480000000000008,Labor Force Participation Rate: Texas (S)
LASST490000000000003,Unemployment Rate: Utah (S)
LASST490000000000004,Unemployment: Utah (S)
LASST490000000000005,Employment: Utah (S)
LASST490000000000006,Labor Force: Utah (S)
LASST490000000000007,Employment-Population Ratio: Utah (S)
LASST490000000000008,Labor Force Participation Rate: Utah (S)
LASST500000000000003,Unemployment Rate: Vermont (S)
LASST500000000000004,Unemployment: Vermont (S)
LASST500000000000005,Employment: Vermont (S)
LASST500000000000006,Labor Force: Vermont (S)
LASST500000000000007,Employment-Population Ratio: Vermont (S)
LASST500000000000008,Labor Force Participation Rate: Vermont (S)
LASST510000000000003,Unemployment Rate: Virginia (S)
LASST510000000000004,Unemployment: Virginia (S)
LASST510000000000005,Employment: Virginia (S)
LASST510000000000006,Labor Force: Virginia (S)
LASST510000000000007,Employment-Population Ratio: Virginia (S)
LASST510000000000008,Labor Force Participation Rate: Virginia (S)
LASST530000000000003,Unemployment Rate: Washington (S)
LASST530000000000004,Unemployment: Washington (S)
LASST530000000000005,Employment: Washington (S)
LASST530000000000006,Labor Force: Washington (S)
LASST530000000000007,Employment-Population Ratio: Washington (S)
LASST530000000000008,Labor Force Participation Rate: Washington (S)
LASST540000000000003,Unemployment Rate: West Virginia (S)
LASST540000000000004,Unemployment: West Virginia (S)
LASST540000000000005,Employment: West Virginia (S)
LASST540000000000006,Labor Force: West Virginia (S)
LASST540000000000007,Employment-Population Ratio: West Virginia (S)
LASST540000000000008,Labor Force Participation Rate: West Virginia (S)
LASST550000000000003,Unemployment Rate: Wisconsin (S)
LASST550000000000004,Unemployment: Wisconsin (S)
LASST550000000000005,Employment: Wisconsin (S)
LASST550000000000006,Labor Force: Wisconsin (S)
LASST550000000000007,Employment-Population Ratio: Wisconsin (S)
LASST550000000000008,Labor Force Participation Rate: Wisconsin (S)
LASST560000000000003,Unemployment Rate: Wyoming (S)
LASST560000000000004,Unemployment: Wyoming (S)
LASST560000000000005,Employment: Wyoming (S)
LASST560000000000006,Labor Force: Wyoming (S)
LASST560000000000007,Employment-Population Ratio: Wyoming (S)
LASST560000000000008,Labor Force Participation Rate: Wyoming (S)
LASST720000000000003,Unemployment Rate: Puerto Rico (S)
