series_id,description
CIS2026100000000Q,"Wages and salaries for private industry workers in the educational services industry, 3-month percent change, current dollars"
CIS2026120000000I,"Wages and salaries for private industry workers in the junior colleges, colleges, and universities industry, current dollar index"
CIS2026120000000Q,"Wages and salaries for private industry workers in the junior colleges, colleges, and universities industry, 3-month percent change, current dollars"
CIS2026200000000I,"Wages and salaries for private industry workers in the health care and social assistance industry, current dollar index"
CIS2026200000000Q,"Wages and salaries for private industry workers in the health care and social assistance industry, 3-month percent change, current dollars"
CIS2026220000000I,"Wages and salaries for private industry workers in the hospitals industry, current dollar index"
CIS2026220000000Q,"Wages and salaries for private industry workers in the hospitals industry, 3-month percent change, current dollars"
CIS2026230000000I,"Wages and salaries for Private industry workers in Nursing and residential care facilities, Index"
CIS2026230000000Q,"Wages and salaries for Private industry workers in Nursing and residential care facilities, 3-month percent change"
CIS2027000000000I,"Wages and salaries for private industry workers in the leisure and hospitality industry, current dollar index"
CIS2027000000000Q,"Wages and salaries for private industry workers in the leisure and hospitality industry, 3-month percent change, current dollars"
CIS2027200000000I,"Wages and salaries for private industry workers in the accommodations and food service industry, current dollar index"
CIS2027200000000Q,"Wages and salaries for private industry workers in the accommodations and food service industry, 3-month percent change, current dollars"
CIS2028100000000I,"Wages and salaries for private industry workers in the other services, except public administration industry, current dollar index"
CIS2028100000000Q,"Wages and salaries for private industry workers in the other services, except public administration industry, 3-month percent change, current dollars"
CIS202G000000000I,"Wages and salaries for private industry workers in the goods-producing industries, current dollar index"
CIS202G000000000Q,"Wages and salaries for private industry workers in the goods-producing industries, 3-month percent change, current dollars"
CIS202S000000000I,"Wages and salaries for private industry workers in the service-providing industries, current dollar index"
CIS202S000000000Q,"Wages and salaries for private industry workers in the service-providing industries, 3-month percent change, current dollars"
CIS2030000000000I,"Total benefits for all private industry workers, current dollar index"
CIS2030000000000Q,"Total benefits for all private industry workers, 3-month percent change, current dollars"
CIS2030000100000I,"Total benefits for private industry workers in management, professional, and related occupations, current dollar index"
CIS2030000100000Q,"Total benefits for private industry workers in management, professional, and related occupations, 3-month percent change, current dollars"
CIS2030000200000I,"Total benefits for private industry workers in sales and office occupations, current dollar index"
CIS2030000200000Q,"Total benefits for private industry workers in sales and office occupations, 3-month percent change, current dollars"
CIS2030000300000I,"Total benefits for private industry workers in service occupations, current dollar index"
CIS2030000300000Q,"Total benefits for private industry workers in service occupations, 3-month percent change, current dollars"
CIS2030000400000I,"Total benefits for private industry workers in natural resources, construction, and maintenance occupations, current dollar index"
CIS2030000400000Q,"Total benefits for private industry workers in natural resources, construction, and maintenance occupations, 3-month percent change, current dollars"
CIS2030000500000I,"Total benefits for private industry workers in production, transportation, and material moving occupations, current dollar index"
CIS2030000500000Q,"Total benefits for private industry workers in production, transportation, and material moving occupations, 3-month percent change, current dollars"
CIS2030000B00000I,"Total benefits for Private industry workers in Blue-collar occupations, Index"
CIS2030000B00000Q,"Total benefits for Private industry workers in Blue-collar occupations, 3-month percent change"
CIS2030000W00000I,"Total benefits for Private industry workers in White-collar occupations, Index"
CIS2030000W00000Q,"Total benefits for Private industry workers in White-collar occupations, 3-month percent change"
CIS2033000000000I,"Total benefits for private industry workers in the manufacturing industry, current dollar index"
CIS2033000000000Q,"Total benefits for private industry workers in the manufacturing industry, 3-month percent change, current dollars"
CIS2033211000000I,"Total benefits for Private industry workers in Aircraft manufacturing, Index"
